CODIGO,NOMBRE PRODUCTO,DESCRIPCION,OBSERVACIONES,CATEGORIA,SUBCATEGORIA,COLOR,UNIDAD DE VENTA
PAN-01 ,PANTALON HOMBRE AZUL OSCURO,"PANTALON HOMBRE AZUL OSCURO LOGO REDONDO K-9 AGENT/ ESPECIFICACIONES: MATERIAL POLYESTER CON COLORANTES APLICADOS DE ALTA SOLIDEZ A LA LUZ, ESTANDAR AATC 16.3 (40AFU), BOTONES Y ENTREPIERNA HASYA LA RODILLA  REFORZADOS CON HILOS DE COSTURA MAS GRUESO , ZIPPER DE BRONCE","LOS CODIGOS SON: PAN-01-30H (TALLA: 30), PAN-01-32H (TALLA: 32), PAN-01-34H (TALLA: 34), PAN-01-36H (TALLA: 36), PAN-01-38H (TALLA: 38), PAN-01-40H (TALLA: 40), PAN-01-42H (TALLA: 42), PAN-01-44H (TALLA: 44), PAN-01-46H (TALLA: 46), PAN-01-48H (TALLA: 48), PAN-01-50H (TALLA: 50), PAN-01-52H (TALLA: 52)",UNIFORME,PANTALON,AZUL OSCURO,PIEZA
PAN-01 ,PANTALON HOMBRE AZUL OSCURO,"PANTALON MUJER AZUL OSCURO LOGO REDONDO K-9 AGENT/ ESPECIFICACIONES: MATERIAL POLYESTER CON COLORANTES APLICADOS DE ALTA SOLIDEZ A LA LUZ, ESTANDAR AATC 16.3 (40AFU), BOTONES Y ENTREPIERNA HASYA LA RODILLA  REFORZADOS CON HILOS DE COSTURA MAS GRUESO , ZIPPER DE BRONCE","LOS CODIGOS SON: PAN-01-8M (TALLA: 8), PAN-01-10M (TALLA: 10), PAN-01-12M (TALLA: 12), PAN-01-14M (TALLA: 14), PAN-01-16M (TALLA: 16), PAN-01-20M (TALLA: 20), PAN-01-22M (TALLA: 22), PAN-01-24M (TALLA: 24), PAN-01-26M (TALLA: 26), PAN-01-28M (TALLA: 28), PAN-01-30M (TALLA: 30), PAN-01-32M (TALLA: 32), PAN-01-34M (TALLA: 34),",UNIFORME,PANTALON,AZUL OSCURO,PIEZA
PAN-02 ,PANTALON HOMBRE AZUL OSCURO,"PANTALON BEIGE-KHAKI HOMBRE POLYESTER/  T/C 65/35 210G 20X16, 100X56/ ESPECIFICACIONES: MATERIAL POLYESTER CON COLORANTES APLICADOS DE ALTA SOLIDEZ A LA LUZ, ESTANDAR AATC 16.3 (40AFU), BOTONES Y ENTREPIERNA HASYA LA RODILLA  REFORZADOS CON HILOS DE COSTURA MAS GRUESO , ZIPPER DE BRONCE","LOS CODIGOS SON: PAN-02-30H (TALLA: 30), PAN-02-32H (TALLA: 32), PAN-02-34H (TALLA: 34), PAN-02-36H (TALLA: 36), PAN-02-38H (TALLA: 38), PAN-02-40H (TALLA: 40), PAN-02-42H (TALLA: 42), PAN-02-44H (TALLA: 44), PAN-02-46H (TALLA: 46), PAN-02-48H (TALLA: 48), PAN-02-50H (TALLA: 50), PAN-02-52H (TALLA: 52)",UNIFORME,PANTALON,BEIGE-KHAKI,PIEZA
PAN-02 ,PANTALON HOMBRE AZUL OSCURO,"PANTALON BEIGE-KHAKI MUJER POLYESTER/  T/C 65/35 210G 20X16, 100X56/ ESPECIFICACIONES: MATERIAL POLYESTER CON COLORANTES APLICADOS DE ALTA SOLIDEZ A LA LUZ, ESTANDAR AATC 16.3 (40AFU), BOTONES Y ENTREPIERNA HASYA LA RODILLA  REFORZADOS CON HILOS DE COSTURA MAS GRUESO , ZIPPER DE BRONCE","LOS CODIGOS SON: PAN-02-8M (TALLA: 8), PAN-02-10M (TALLA: 10), PAN-02-12M (TALLA: 12), PAN-02-14M (TALLA: 14), PAN-02-16M (TALLA: 16), PAN-02-20M (TALLA: 20), PAN-02-22M (TALLA: 22), PAN-02-24M (TALLA: 24), PAN-02-26M (TALLA: 26), PAN-02-28M (TALLA: 28), PAN-02-30M (TALLA: 30), PAN-02-32M (TALLA: 32), PAN-02-34M (TALLA: 34),",UNIFORME,PANTALON,BEIGE-KHAKI,PIEZA
CHA-01,,"CHALECO AMARILLO FOSFORESCENTE C/ LOGO PLACA AL FRENTE, ZIPPER, BORDE NEGRO Y TIRAS REFLECTIVAS ","TALLAS: S, M, L, Y XL",,,AMARILLO FOSFORESCENTE,PIEZA
CHT-01 ,,"CHALECO TACTICO BEIGE-KHAKI C/ PISTOLERA, COMPARTIMENTO DE ESPOSAS, 8 CONECTORES-CIERRES, COMPARTIMENTO CON PLACA-LOGO, 2 TIRAS REFLECTIVAS. PARCHE LOGO Y PARCHE K-9 SPECIAL UNIT. ",,,,BEIGE-KHAKI,PIEZA
 CHT-02,,"CHALECO TACTICO NEGRO C/ PISTOLERA, COMPARTIMENTO DE ESPOSAS, 8 CONECTORES-CIERRES, COMPARTIMENTO CON PLACA-LOGO, 2 TIRAS REFLECTIVAS. PARCHE LOGO Y PARCHE K-9 SPECIAL UNIT. ",,,,NEGRO,PIEZA
JAC-01,,"JACKET SENCILLO HOMBRE 72D 210T PROCESO NYLON  DERRETIDO SUPER RESISTENTE. 

","TALLAS: JAC-01-SH (TALLA S), JAC-01-MH (TALLA M), JAC-01-LH (TALLA L) Y JAC-01-XLH (TALLA XL)",,,-,PIEZA
PAN-02 ,,JACKET SENCILLO MUJER  72D 210T PROCESO NYLON  DERRETIDO SUPER RESISTENTE. ,"TALLAS: JAC-01-SM (TALLA S), JAC-01-MM (TALLA M), JAC-01-LM (TALLA L) Y JAC-01-XLM (TALLA XL)",,,-,PIEZA
ABR-01,,CHAQUETA IMPERMEABLE HOMBRE CON ABRIGO INTERNO./ ESPECIFICACIONES: 75D 190T POLYESTER TAFFETA RECUBRIMIENTO: 100% POLUESTER Y TELA CONFORTABLE 300.         ,"TALLAS: ABR-01-SH (TALLA S), ABR-01-MH (TALLA M), ABR-01-LH (TALLA L) Y ABR-01-XLH (TALLA XL)",,,-,PIEZA
